transaction_id,amount,hour,day_of_week,is_weekend,card_age_days,credit_limit,available_credit,transactions_last_24h,transactions_last_week,avg_transaction_amount,distance_from_home,distance_from_last_transaction,is_online,is_international,pin_entered,chip_used,is_fraud,merchant_gas,merchant_online,merchant_other,merchant_restaurant,merchant_retail,merchant_travel
CC000000,147.44,10,4,0,3122,200000,128666.76,0,10,26.91,1.54,5.26,1,0,0,0,0,False,False,False,False,False,True
CC000001,8.6,21,4,0,777,50000,38350.83,1,8,298.41,2.23,3.61,0,0,0,0,0,False,False,False,False,True,False
CC000002,16.44,20,1,0,1393,500000,323939.0,0,10,137.16,24.0,1.5,0,0,1,0,0,False,False,False,True,False,False
CC000003,76.92,7,5,1,1305,50000,11553.12,5,8,1.99,3.47,0.07,1,0,1,0,0,True,False,False,False,False,False
CC000004,10.19,6,0,0,1893,500000,367640.79,0,8,20.83,13.08,5.07,0,0,1,1,0,True,False,False,False,False,False
CC000005,262.02,13,6,1,2872,50000,21573.48,0,9,30.27,8.28,5.95,0,0,1,1,0,False,False,False,False,False,True
CC000006,35.72,21,3,0,2655,100000,35350.37,3,15,17.46,16.47,11.32,0,0,1,1,0,False,False,True,False,False,False
CC000007,108.97,4,0,0,1287,500000,402349.79,1,10,32.36,2.84,5.96,0,0,0,1,0,True,False,False,False,False,False
CC000008,14.61,4,0,0,2462,200000,91087.13,2,11,33.31,4.61,1.39,0,0,1,1,0,False,False,True,False,False,False
CC000009,17.59,2,3,0,2841,200000,164761.43,3,16,215.6,11.26,6.64,1,0,0,1,0,False,True,False,False,False,False
CC000010,86.05,16,1,0,2974,500000,113832.26,2,8,235.27,18.75,9.7,1,0,0,0,0,False,False,True,False,False,False
CC000011,297.32,2,5,1,1526,200000,44213.79,1,10,32.88,1.97,2.28,1,0,0,1,0,True,False,False,False,False,False
CC000012,9.22,5,5,1,3466,200000,57272.55,4,7,9.74,3.3,0.12,0,1,1,1,0,False,False,False,False,True,False
CC000013,150.38,4,4,0,2574,100000,22667.61,3,14,45.66,27.51,5.95,0,0,1,0,0,False,False,True,False,False,False
CC000014,452.53,16,0,0,3494,200000,86574.24,2,7,35.77,0.85,0.03,1,0,1,1,0,False,False,False,True,False,False
CC000015,249.12,1,1,0,1853,200000,92475.82,1,14,1.67,17.59,1.58,1,0,0,1,0,False,False,False,True,False,False
CC000016,3975.43,19,4,0,399,500000,214161.96,0,9,85.7,13.63,1.44,1,0,1,1,0,False,True,False,False,False,False
CC000017,28.91,1,5,1,1171,500000,426853.6,4,12,5.61,1.28,2.09,0,0,1,1,0,False,False,False,True,False,False
CC000018,8.55,15,4,0,580,500000,430719.25,2,11,30.29,4.69,4.92,0,0,1,1,0,False,True,False,False,False,False
CC000019,348.09,19,3,0,2767,200000,97073.89,3,7,50.48,0.74,1.92,1,0,0,1,0,False,True,False,False,False,False
CC000020,6.78,10,4,0,3477,500000,332821.59,3,11,242.19,1.37,1.44,0,0,1,1,0,False,False,True,False,False,False
CC000021,3.73,16,5,1,625,500000,344152.77,1,14,38.68,6.59,3.4,0,0,1,1,0,False,False,False,False,False,True
