person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,dti_ratio,delinquencies_2yrs,revolving_utilization,total_accounts,inquiries_6months,public_records,loan_status
63,76753.72,MORTGAGE,7,MEDICAL,G,7265,6.16,0.09,Y,28,0.11,1,0.29,22,1,0,0
48,36083.26,RENT,15,DEBTCONSOLIDATION,C,20118,12.65,0.56,Y,16,0.44,1,0.37,26,2,0,1
28,96222.78,MORTGAGE,34,EDUCATION,D,27531,11.23,0.29,N,22,0.58,0,0.47,9,0,0,0
44,28587.9,MORTGAGE,25,VENTURE,E,40099,7.82,1.4,Y,28,0.5,1,0.21,12,0,0,1
61,53982.6,MORTGAGE,27,VENTURE,B,31535,6.91,0.58,N,2,0.46,0,0.12,4,0,0,1
34,37538.36,RENT,38,EDUCATION,B,1206,13.79,0.03,N,5,0.48,0,0.18,6,0,0,0
42,64079.32,MORTGAGE,27,PERSONAL,E,43557,22.43,0.68,Y,14,0.1,1,0.24,8,1,0,1
57,15873.59,RENT,32,MEDICAL,F,1663,9.38,0.1,N,18,0.24,0,0.32,8,0,0,0
52,48007.71,MORTGAGE,32,EDUCATION,E,47717,14.79,0.99,Y,17,0.3,1,0.33,25,0,1,1
26,47982.84,RENT,15,MEDICAL,D,3811,5.33,0.08,N,24,0.16,0,0.45,8,1,0,0
27,152689.17,MORTGAGE,15,VENTURE,D,42976,10.22,0.28,Y,7,0.18,2,0.39,17,3,0,0
45,91766.16,MORTGAGE,34,DEBTCONSOLIDATION,B,3961,14.71,0.04,N,7,0.28,0,0.09,4,1,0,0
58,39818.82,MORTGAGE,7,DEBTCONSOLIDATION,A,49404,16.54,1.24,N,29,0.33,0,0.46,18,0,1,1
61,50289.39,MORTGAGE,36,DEBTCONSOLIDATION,E,32216,16.45,0.64,Y,16,0.45,1,0.17,19,0,0,1
42,64657.7,RENT,22,EDUCATION,B,17538,11.45,0.27,Y,17,0.5,1,0.19,19,2,0,0
34,98135.19,MORTGAGE,11,EDUCATION,B,14403,13.77,0.15,N,2,0.51,0,0.17,27,0,0,0
28,50644.78,OWN,4,VENTURE,F,1876,15.81,0.04,N,2,0.14,0,0.03,29,1,0,0
21,42671.74,RENT,33,PERSONAL,E,6237,10.6,0.15,Y,5,0.27,1,0.46,17,0,0,0
53,80817.46,MORTGAGE,29,EDUCATION,F,39649,17.7,0.49,N,21,0.57,0,0.66,6,1,0,1
44,95141.09,RENT,11,PERSONAL,A,36195,21.22,0.38,Y,9,0.15,1,0.25,13,0,0,0
49,66423.03,MORTGAGE,25,EDUCATION,C,12261,10.64,0.18,N,5,0.38,0,0.27,22,1,0,0
38,77962.27,MORTGAGE,38,DEBTCONSOLIDATION,E,24190,9.77,0.31,N,15,0.29,0,0.11,21,1,0,0
51,44066.39,OWN,18,HOMEIMPROVEMENT,E,9335,10.86,0.21,N,18,0.37,0,0.36,14,3,0,0
58,76728.78,OWN,6,PERSONAL,B,40081,22.84,0.52,N,28,0.14,0,0.07,23,3,0,0
30,125201.3,RENT,25,MEDICAL,E,16485,5.23,0.13,N,6,0.53,0,0.41,26,0,0,0
56,60252.31,MORTGAGE,34,EDUCATION,G,45472,17.59,0.75,N,5,0.15,0,0.66,26,2,0,0
46,46836.51,RENT,7,VENTURE,D,32921,12.21,0.7,N,25,0.51,0,0.2,14,1,0,0
50,149601.35,RENT,4,EDUCATION,G,28712,8.01,0.19,N,6,0.11,0,0.32,3,0,0,0
