age,policy_tenure,policy_amount,claim_amount,claim_ratio,past_claims,incident_hour,days_to_report,witness_present,police_report,linked_claims,is_fraud
69,7,50000,13015.04,0.26,0,22,1.2,1,0,0,0
19,21,25000,31839.09,1.27,0,20,0.7,1,0,0,0
59,27,100000,4010.44,0.04,1,22,1.8,0,0,0,0
35,7,100000,953.73,0.01,0,8,0.2,1,0,0,0
25,29,10000,18444.93,1.84,0,5,1.6,0,1,0,0
27,2,100000,2390.26,0.02,0,7,2.8,1,0,9,0
32,29,10000,14503.17,1.45,1,4,0.9,0,1,0,0
50,2,200000,19687.68,0.1,1,2,1.0,1,1,0,0
31,23,10000,4381.4,0.44,0,18,2.0,1,0,7,0
62,7,200000,11303.78,0.06,0,6,2.4,1,0,0,0
23,21,100000,31947.91,0.32,1,0,0.5,1,1,0,0
23,7,10000,9658.11,0.97,0,0,0.8,1,0,0,0
69,9,10000,3477.2,0.35,1,4,0.1,1,0,0,0
49,5,50000,3559.98,0.07,1,5,1.8,0,0,0,0
41,6,25000,14572.0,0.58,0,0,0.8,0,0,0,0
53,27,50000,72435.78,1.45,1,6,5.6,1,0,0,0
45,11,25000,18279.17,0.73,1,16,11.2,1,0,0,0
26,23,50000,2366.43,0.05,2,23,2.1,0,0,0,0
79,20,10000,9651.16,0.97,1,8,0.0,1,0,0,0
24,8,10000,2399.81,0.24,0,18,0.6,1,1,0,0
25,22,25000,35691.46,1.19,1,15,11.7,1,0,5,1
52,6,200000,2114.29,0.01,1,20,6.6,1,0,0,0
50,23,25000,16483.4,0.66,1,23,1.9,1,0,0,0
43,2,10000,8888.19,0.89,0,21,1.6,1,0,0,0
30,24,10000,2481.79,0.25,0,13,0.1,1,0,0,0
39,23,25000,13293.04,0.53,0,21,3.9,1,0,0,0
77,11,200000,27184.4,0.14,0,14,2.0,1,1,0,0
34,19,50000,6965.77,0.14,0,22,0.1,1,1,0,0
18,21,10000,1721.88,0.17,0,7,0.7,1,1,0,0
46,22,100000,5749.52,0.06,0,18,0.3,1,0,0,0
