transaction_id,amount,hour,day_of_week,transaction_frequency,avg_transaction_amount,account_age_days,device_change,location_change,transactions_last_hour,transactions_last_day,merchant_risk_score,new_merchant,failed_attempts,is_fraud
UPI_LEGIT_011499,1505.14,17,3,4,200.43,1763,0,0,1,1,0.358,0,0,0
UPI_LEGIT_006475,449.68,13,3,3,106.61,1946,0,0,0,1,0.192,1,0,0
UPI_LEGIT_013167,1300.07,12,6,1,408.61,3382,1,0,0,4,0.028,0,0,0
UPI_FRAUD_000862,516058.82,22,2,2,40.96,1035,1,0,1,1,0.887,1,0,1
UPI_LEGIT_005970,11.27,13,5,0,280.95,3195,0,0,0,2,0.156,1,0,0
UPI_LEGIT_006706,99.24,17,6,2,48.78,2206,0,0,1,1,0.021,0,0,0
UPI_LEGIT_003017,157.99,14,1,5,73.15,3439,0,0,0,1,0.345,0,0,0
UPI_LEGIT_003781,53.91,11,1,4,136.56,1049,0,0,2,4,0.053,0,0,0
UPI_LEGIT_003898,7.75,22,6,3,104.26,2498,0,0,0,2,0.306,0,0,0
UPI_LEGIT_002250,38.81,21,5,1,391.64,2029,0,0,1,0,0.289,0,0,0
UPI_FRAUD_000542,1369905.93,13,4,3,277.31,3632,1,0,0,1,0.721,0,0,1
UPI_LEGIT_004351,1.82,10,4,3,139.15,3582,0,0,0,0,0.252,0,0,0
UPI_LEGIT_012807,81.76,20,6,3,384.94,1574,0,1,1,0,0.395,1,0,0
UPI_LEGIT_006631,82.42,11,1,0,250.49,2898,0,0,2,1,0.031,1,0,0
UPI_LEGIT_006705,18.58,13,3,6,30.47,3013,0,0,0,2,0.198,1,0,0
UPI_LEGIT_006978,98.83,12,4,4,394.41,1308,0,0,0,1,0.03,0,0,0
UPI_LEGIT_007399,182.71,19,1,6,84.35,2169,0,0,1,0,0.21,0,1,0
UPI_LEGIT_011119,56.12,19,4,2,40.2,2204,0,0,0,2,0.105,1,0,0
UPI_LEGIT_012665,213.25,15,0,4,134.3,632,0,0,1,3,0.23,0,0,0
UPI_LEGIT_005304,70.03,12,3,2,42.9,184,0,0,1,1,0.15,0,0,0
UPI_LEGIT_002312,5679.89,14,5,1,385.89,2165,0,0,2,1,0.079,0,0,0
UPI_LEGIT_007040,156.55,22,4,4,60.63,3021,0,0,0,1,0.174,0,0,0
UPI_FRAUD_001889,678055.36,8,2,1,29.87,36,1,0,1,0,0.946,1,0,1
UPI_LEGIT_008991,944.59,11,6,2,214.87,3614,0,0,0,3,0.08,0,1,0
UPI_FRAUD_000169,1614322.24,2,5,1,5.74,490,0,0,1,3,0.915,0,1,1
UPI_FRAUD_001795,69951.02,1,5,7,36.7,2996,0,0,4,6,0.435,0,3,1
UPI_LEGIT_003975,5712.2,6,1,7,128.34,880,0,0,1,1,0.128,0,0,0
UPI_LEGIT_006820,78.92,17,1,3,56.33,1386,0,0,0,1,0.179,0,0,0
UPI_LEGIT_007826,75.9,16,0,2,86.95,1113,0,0,0,1,0.214,0,0,0
UPI_LEGIT_011809,137.81,15,4,2,211.42,581,0,0,1,2,0.135,0,0,0
UPI_FRAUD_001039,251212.31,5,3,0,240.68,1902,0,0,1,1,0.641,0,0,1
UPI_LEGIT_002848,64.35,21,0,3,474.55,3173,0,0,1,1,0.242,0,0,0
UPI_LEGIT_003371,944.3,11,6,3,38.09,1233,0,0,0,4,0.102,1,0,0
UPI_LEGIT_008829,205.64,21,2,0,197.21,756,0,0,0,0,0.033,0,0,0
UPI_LEGIT_010349,304.84,22,1,1,96.04,1560,0,0,1,3,0.278,0,1,0
UPI_LEGIT_008797,243.18,19,3,2,19.25,2001,0,0,1,1,0.396,0,0,0
UPI_FRAUD_000764,1146597.28,15,6,5,119.69,1798,1,0,0,4,0.84,0,0,1
UPI_FRAUD_001593,90418.93,8,1,14,143.35,3242,0,1,3,5,0.28,0,2,1
UPI_LEGIT_014232,175.16,14,1,5,42.65,2000,0,0,2,3,0.067,0,0,0
UPI_LEGIT_005872,28.47,14,6,3,214.53,347,0,0,2,1,0.36,1,0,0
UPI_LEGIT_009940,560.83,21,5,0,575.46,801,0,0,0,0,0.147,0,1,0
UPI_LEGIT_005169,34.41,20,2,5,402.2,3130,0,0,2,2,0.292,0,0,0
UPI_LEGIT_010909,203.59,11,2,5,140.61,3109,0,1,0,0,0.067,0,0,0
UPI_LEGIT_004122,2874.43,11,6,4,753.03,3353,0,0,0,3,0.171,0,0,0
UPI_LEGIT_012948,2480.84,11,5,4,233.06,1048,1,0,0,1,0.331,0,0,0
UPI_LEGIT_014482,186.14,12,6,0,609.39,1209,0,1,1,2,0.032,1,0,0
UPI_FRAUD_000149,1341940.31,5,5,2,107.72,2410,1,0,0,3,0.666,1,2,1
UPI_LEGIT_011736,7.17,21,0,2,29.35,2698,0,0,0,3,0.171,0,0,0
UPI_FRAUD_000387,1822228.73,3,1,4,86.42,3128,0,0,0,1,0.909,0,1,1
UPI_LEGIT_003946,1648.83,22,4,3,246.41,2593,0,0,1,0,0.076,0,0,0
UPI_LEGIT_013402,121.07,22,4,6,69.45,2368,0,0,0,2,0.228,0,0,0
UPI_FRAUD_001373,96233.57,18,1,5,19.51,1271,1,0,2,9,0.364,1,3,1
UPI_LEGIT_002884,22.52,10,4,1,43.37,2658,0,1,0,2,0.391,0,0,0
UPI_LEGIT_014042,62.27,13,2,1,383.63,898,0,0,0,1,0.193,0,0,0
UPI_LEGIT_011360,68.87,13,5,6,73.92,2997,0,0,0,1,0.309,0,1,0
UPI_LEGIT_002991,906.91,19,6,3,116.46,1957,0,0,0,0,0.047,0,0,0
UPI_LEGIT_011595,3.65,21,2,3,142.33,558,0,0,0,1,0.19,0,1,0
UPI_LEGIT_010581,79.59,10,4,4,307.78,732,0,0,0,1,0.011,0,1,0
UPI_LEGIT_014867,5013.71,14,2,2,157.33,436,0,0,1,5,0.389,0,0,0
UPI_LEGIT_014424,154.38,18,4,1,246.87,999,0,0,0,3,0.347,0,0,0
UPI_LEGIT_003024,907.51,11,3,3,61.14,632,0,0,1,1,0.038,1,0,0
UPI_FRAUD_000251,1468587.57,1,6,2,26.99,1099,1,0,1,4,0.943,0,0,1
UPI_LEGIT_012146,768.8,20,3,6,218.07,1553,0,0,0,3,0.395,0,0,0
UPI_LEGIT_011438,32.73,11,6,0,53.29,346,0,0,0,1,0.12,0,0,0
UPI_LEGIT_007092,5.45,20,0,2,131.03,2693,0,1,0,2,0.252,0,0,0
UPI_FRAUD_000932,296372.69,0,0,1,65.77,126,0,0,0,0,0.647,0,0,1
UPI_LEGIT_007217,71038.24,9,6,4,374.41,432,0,0,0,4,0.264,1,0,0
UPI_LEGIT_003684,1135.42,19,2,3,149.96,455,1,0,0,3,0.107,0,0,0
UPI_LEGIT_008368,340.41,15,4,2,506.13,1220,0,1,0,1,0.325,0,0,0
UPI_LEGIT_009478,115.58,11,4,1,368.09,1369,0,0,0,3,0.021,0,0,0
UPI_LEGIT_011724,52.93,17,0,3,478.07,2493,0,0,1,0,0.239,0,0,0
UPI_LEGIT_007417,941.62,6,2,1,34.19,2506,0,0,0,3,0.279,0,1,0
UPI_LEGIT_010504,5.73,20,2,1,102.23,616,0,0,1,0,0.207,0,0,0
UPI_LEGIT_010515,3246.33,9,1,4,291.58,1735,0,0,0,3,0.391,0,0,0
UPI_LEGIT_013509,35.62,20,4,5,171.79,1894,0,0,0,1,0.244,1,0,0
UPI_LEGIT_007172,27.86,22,1,4,55.29,1849,0,0,1,3,0.091,1,0,0
UPI_LEGIT_003328,635.19,7,5,0,156.7,1798,0,1,1,0,0.289,0,0,0
UPI_LEGIT_005023,59.43,20,6,2,27.94,264,1,0,0,1,0.106,0,0,0
UPI_FRAUD_002214,892677.97,5,3,1,235.42,78,0,0,1,0,0.772,1,0,1
UPI_FRAUD_002216,917100.91,4,4,3,135.11,78,1,0,1,1,0.944,0,1,1
UPI_LEGIT_014795,839.28,12,0,4,183.3,425,0,0,0,2,0.065,0,0,0
UPI_LEGIT_002859,5080.19,22,0,3,33.49,2418,0,0,1,2,0.157,0,0,0
UPI_LEGIT_004024,112.83,15,6,2,10.32,352,0,0,0,5,0.399,0,1,0
UPI_LEGIT_002760,11.79,19,1,2,37.27,2056,0,0,0,4,0.058,0,0,0
UPI_LEGIT_003290,57.32,15,6,3,163.79,259,0,0,0,0,0.35,0,0,0
UPI_LEGIT_010043,92.6,8,3,3,14.65,2319,0,0,0,5,0.309,0,0,0
UPI_LEGIT_002626,141.38,13,5,5,424.21,2659,0,0,0,1,0.258,0,1,0
